Iteraciones,Energia_liberada,Energia_total
0,0.000000,0.000491
100,0.000000,0.116132
200,0.000000,0.174790
300,0.000000,0.222144
400,0.000000,0.248546
500,0.000000,0.270463
600,0.000000,0.240433
700,0.000000,0.244152
800,0.000000,0.249463
900,0.000000,0.256154
1000,0.000000,0.266374
1100,0.000000,0.284239
1200,0.000000,0.272885
1300,0.000000,0.261911
1400,0.000000,0.248270
1500,0.000000,0.217796
1600,0.000000,0.218866
1700,0.000000,0.237513
1800,0.000000,0.233385
1900,0.000000,0.261756
2000,0.000000,0.254195
2100,0.000000,0.280498
2200,0.000000,0.254701
2300,0.000000,0.244354
2400,0.000000,0.249527
2500,0.000000,0.300716
2600,0.000000,0.304603
2700,0.000000,0.282629
2800,0.000000,0.266484
2900,0.000000,0.242493
3000,0.000000,0.251218
3100,0.000000,0.268567
3200,0.000000,0.261863
3300,0.000000,0.260006
3400,0.000000,0.256307
3500,0.000000,0.251773
3600,0.000000,0.246828
3700,0.000000,0.221033
3800,0.000000,0.240090
3900,0.000000,0.222659
4000,0.000000,0.226239
4100,0.000000,0.254477
4200,0.000000,0.234577
4300,0.000000,0.235467
4400,0.000000,0.235013
4500,0.000000,0.234738
4600,0.000000,0.241619
4700,0.000000,0.222198
4800,0.000000,0.213520
4900,0.000000,0.259269
5000,0.000000,0.263138
5100,0.000000,0.217371
5200,0.000000,0.262090
5300,0.000000,0.272096
5400,0.000000,0.260076
5500,0.000000,0.270161
5600,0.000000,0.266174
5700,0.000000,0.286722
5800,0.000000,0.267849
5900,0.000000,0.270209
6000,0.000000,0.267485
6100,0.000000,0.264634
6200,0.000000,0.270204
6300,0.000000,0.250199
6400,0.000000,0.238795
6500,0.000000,0.268915
6600,0.000000,0.235758
6700,0.000000,0.232579
6800,0.000000,0.240350
6900,0.000000,0.238998
7000,0.000000,0.252226
7100,0.000000,0.248910
7200,0.000000,0.270341
7300,0.000000,0.271190
7400,0.000000,0.254360
7500,0.000000,0.259792
7600,0.000000,0.266800
7700,0.000000,0.232334
7800,0.000000,0.251573
7900,0.000000,0.227741
8000,0.000000,0.234769
8100,0.000000,0.263203
8200,0.000000,0.272257
8300,0.000000,0.272126
8400,0.000000,0.296327
8500,0.000000,0.307379
8600,0.000000,0.288984
8700,0.000000,0.271112
8800,0.000000,0.264746
8900,0.000000,0.272402
9000,0.000000,0.298544
9100,0.000000,0.259910
9200,0.000000,0.249472
9300,0.000000,0.280377
9400,0.000000,0.266349
9500,0.000000,0.229883
9600,0.000000,0.245954
9700,0.000000,0.274568
9800,0.000000,0.260834
9900,0.000000,0.261694
10000,0.000000,0.280562
